"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Georgia",NA,NA,NA,NA,"Incidence",14787,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Georgia",94.1,118.8,105.9,306,"Incidence",277381,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Georgia",21.5,34,27.2,80,"Incidence",277381,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Georgia",131.8,142.4,137,2761,"Incidence",1908470,"Non-Hispanic Black","Female","Female Breast","2022"
"Georgia",32.7,38,35.3,736,"Incidence",1908470,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Georgia",132.9,140.6,136.7,5370,"Incidence",2818907,"Non-Hispanic White","Female","Female Breast","2022"
"Georgia",27.9,31.6,29.7,1130,"Incidence",2818907,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Hawaii",130.3,146.3,138.1,1310,"Incidence",716547,"All Races","Female","Female Breast","2022"
"Hawaii",30.7,39,34.6,310,"Incidence",716547,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Hawaii",139.5,230.3,181,75,"Incidence",65556,"Hispanic of any race","Female","Female Breast","2022"
"Hawaii",NA,NA,NA,NA,"Incidence",65556,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Hawaii",NA,NA,NA,NA,"Incidence",1660,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Hawaii",NA,NA,NA,NA,"Incidence",1660,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Hawaii",126.4,145.1,135.5,923,"Incidence",504017,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Hawaii",33.5,43.8,38.4,246,"Incidence",504017,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Hawaii",101,280.2,175.4,17,"Incidence",15478,"Non-Hispanic Black","Female","Female Breast","2022"
"Hawaii",NA,NA,NA,NA,"Incidence",15478,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Hawaii",115.5,152,132.6,278,"Incidence",129836,"Non-Hispanic White","Female","Female Breast","2022"
"Hawaii",14.7,30.7,21.5,43,"Incidence",129836,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Idaho",130,144.1,136.9,1596,"Incidence",963705,"All Races","Female","Female Breast","2022"
"Idaho",24.4,30.9,27.5,313,"Incidence",963705,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Idaho",73.1,117.1,93.2,81,"Incidence",127605,"Hispanic of any race","Female","Female Breast","2022"
"Idaho",12.4,33.1,21,19,"Incidence",127605,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Idaho",NA,NA,NA,NA,"Incidence",11551,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Idaho",NA,NA,NA,NA,"Incidence",11551,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Idaho",71.6,173.2,114.4,23,"Incidence",20867,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Idaho",NA,NA,NA,NA,"Incidence",20867,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Idaho",NA,NA,NA,NA,"Incidence",9761,"Non-Hispanic Black","Female","Female Breast","2022"
"Idaho",NA,NA,NA,NA,"Incidence",9761,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Idaho",131.7,146.8,139.1,1457,"Incidence",793921,"Non-Hispanic White","Female","Female Breast","2022"
"Idaho",23.7,30.6,26.9,273,"Incidence",793921,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Illinois",137.4,142.8,140.1,11158,"Incidence",6363917,"All Races","Female","Female Breast","2022"
"Illinois",34.4,37.2,35.8,2750,"Incidence",6363917,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Illinois",102,115.8,108.7,1034,"Incidence",1153182,"Hispanic of any race","Female","Female Breast","2022"
"Illinois",23.1,29.8,26.3,258,"Incidence",1153182,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Illinois",NA,NA,NA,NA,"Incidence",13507,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Illinois",NA,NA,NA,NA,"Incidence",13507,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Illinois",112.2,132.8,122.1,565,"Incidence",412279,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Illinois",35.3,47.3,41,188,"Incidence",412279,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Illinois",129.1,143.2,136,1523,"Incidence",974301,"Non-Hispanic Black","Female","Female Breast","2022"
"Illinois",35.9,43.5,39.6,450,"Incidence",974301,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Illinois",143.3,150.3,146.8,7966,"Incidence",3810648,"Non-Hispanic White","Female","Female Breast","2022"
"Illinois",34.4,38,36.2,1821,"Incidence",3810648,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Indiana",117.3,124.3,120.8,5068,"Incidence",3443088,"All Races","Female","Female Breast","2022"
"Indiana",26.4,29.8,28,1155,"Incidence",3443088,"All Races","Female","Female Breast, <i>in situ</i>","2022"
